id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
330,572399830368034817,42317726,0,0,2,0,0,0,0,0,111,15,1,0,1,0,43.55,3222,691,66,0,143837,95,2108,1,0,0,0,68.23,4.66,0.21,11,1,0.5000
334,572399829692878848,52024106,0,0,0,0,0,0,0,0,51,7,0,0,1,0,52.17,3596,3972,253,53166,263661,73,2072,1,0,0,0,127.25,0.91,1.10,14,1,0.4810
335,572399834642038787,1398460039,0,0,0,0,0,0,0,0,76,9,0,0,1,0,47.45,536,598,3,1,50954,18,669,1,0,0,0,76.16,0.90,1.12,9,1,0.5063
345,572399819702063104,52024106,0,0,0,0,0,0,0,0,78,9,0,0,1,0,52.17,3596,3972,253,53166,263655,73,2072,1,0,0,0,127.25,0.91,1.10,14,1,0.4810
353,572399847862636544,2742275298,0,0,0,0,0,0,1,0,135,13,1,0,1,1,36.28,46,38,0,0,32530,52,196,1,1,0,0,165.97,1.21,0.83,19,1,0.4367
354,572399851473911808,18770377,0,0,0,0,0,0,0,0,59,8,0,0,1,0,41.73,126,427,2,1,1824,141,2244,1,0,0,0,0.81,0.30,3.39,15,1,0.5316
355,572399850710413312,492246002,0,0,0,0,0,0,0,0,100,12,0,0,1,0,39.20,909,145,42,2,235523,110,1112,1,0,0,0,211.80,6.27,0.16,9,1,0.5063
356,572399851167604736,2321504575,0,0,0,0,0,0,0,0,136,17,0,0,1,0,44.82,3847,707,7,13,91809,46,395,0,0,1,0,232.43,5.44,0.18,10,1,0.4810
357,572399846646153217,1068881538,0,0,0,0,1,0,0,1,99,11,4,0,1,0,45.04,213,71,38,0,701,31,784,0,0,0,0,0.89,3.00,0.33,9,1,0.5063
364,572399851842879491,2321504575,0,0,0,0,0,0,0,0,136,22,0,0,1,0,44.82,3847,707,7,13,91810,46,395,0,0,1,0,232.43,5.44,0.18,10,1,0.4810
366,572399855252840449,492246002,0,0,0,0,0,0,0,0,100,14,0,0,1,0,39.20,909,145,42,2,235526,110,1112,1,0,0,0,211.80,6.27,0.16,9,1,0.5063
369,572399864505634816,560028064,0,0,0,0,0,0,0,0,105,15,2,0,1,0,47.55,3801,2338,82,0,301228,147,1045,1,0,0,0,288.26,1.63,0.62,9,1,0.5063
380,572399880846643201,24726134,0,0,0,0,0,0,0,0,59,6,1,0,1,0,41.40,185,422,9,28,33371,52,2177,0,0,0,0,15.33,0.44,2.28,14,1,0.4810
383,572399884696883201,2573067083,0,0,0,0,0,0,0,0,132,19,0,0,1,0,45.58,190,69,21,6,113185,159,276,1,0,0,0,410.09,2.75,0.36,9,1,0.5063
389,572399889319002113,1278871380,0,0,0,0,0,0,0,0,83,12,0,0,1,0,43.88,2288,118,1,0,30509,71,714,1,0,0,0,42.73,19.39,0.05,22,1,0.3544
393,572399888022945792,7491782,0,0,0,0,0,0,0,0,136,17,3,0,1,0,57.32,1354,275,145,2,347302,96,2787,1,0,0,0,124.61,4.92,0.20,14,1,0.4810
398,572399864794914816,2276601194,0,0,0,0,0,0,0,0,95,12,0,0,1,0,38.58,1711,110,1,24,23928,104,422,1,1,0,0,56.70,15.55,0.06,21,1,0.4937
410,572399905483845633,264426523,0,0,0,0,0,0,0,0,136,17,1,0,1,0,29.35,422,454,1,31,6535,48,1452,0,0,0,0,4.50,0.93,1.08,9,1,0.5063
413,572399913520087040,2975143567,0,0,0,0,0,0,0,0,136,19,0,0,1,0,47.33,108,5,6,0,53433,30,50,1,0,0,0,1068.66,21.60,0.05,22,1,0.3544
