id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
1790,572400260099801090,216655995,0,0,1,0,0,0,0,0,79,11,0,0,1,0,41.68,636,1104,47,81,106019,92,1566,1,0,0,0,67.70,0.58,1.74,17,1,0.4557
1793,572400274624552960,914666172,0,0,3,0,0,0,0,0,136,16,0,0,1,0,58.53,23679,5930,44,3834,165648,143,853,1,0,0,0,194.19,3.99,0.25,11,1,0.5000
1795,572400276277096449,2248338656,0,0,1,0,0,0,0,0,136,17,0,0,1,0,24.73,146,33,1,0,20180,66,441,1,0,0,0,45.76,4.42,0.23,21,1,0.4937
1797,572400292408397824,72928001,0,0,3,0,0,0,0,0,137,17,0,0,1,0,45.52,14171,3044,674,22,145406,130,2000,1,0,0,0,72.70,4.66,0.21,8,1,0.3987
1799,572400268257701888,28494334,0,0,2,0,0,0,0,0,81,10,0,0,1,0,53.18,18153,20001,98,30,68552,142,2160,1,0,0,0,31.74,0.91,1.10,22,1,0.3544
1804,572400322569764864,2555190554,0,0,1,0,0,0,0,0,138,21,0,0,1,0,41.46,279,0,3,0,16987,0,267,0,1,0,0,63.62,279.00,0.00,19,1,0.4367
1809,572400354597289984,85002295,0,0,3,0,0,0,0,0,65,9,0,0,1,0,51.48,21993,3,742,0,24267,31,1955,1,0,0,0,12.41,7331.00,0.00,6,1,0.3354
1817,572400389858861057,96661578,0,0,1,0,0,0,0,0,86,9,1,0,1,0,52.61,26667,2,691,0,107942,66,1905,1,0,0,0,56.66,13333.50,0.00,6,1,0.3354
1818,572400392992100352,252975021,0,0,1,0,0,0,0,0,80,9,1,0,1,0,37.74,2814,11,80,4,43717,142,1475,1,1,0,0,29.64,255.82,0.00,15,1,0.5316
1820,572400395890241536,357523400,0,0,1,0,0,0,0,0,136,14,0,0,1,0,43.60,8015,6,13,0,16832,30,1292,0,0,0,0,13.03,1335.83,0.00,16,1,0.4494
1825,572400405797208065,1684292413,0,0,1,0,0,0,0,0,51,7,0,0,1,0,44.38,759,926,33,276,19783,28,560,0,0,0,0,35.33,0.82,1.22,15,1,0.5316
1826,572400405562327041,41221927,0,0,52,0,0,0,0,0,136,17,1,0,1,0,48.36,6322,941,210,3,30215,153,2113,1,0,0,1,14.30,6.72,0.15,9,1,0.5063
1827,572400404895383552,41221927,0,0,27,0,0,0,0,0,136,21,1,0,1,0,48.36,6322,941,210,3,30214,153,2113,1,0,0,1,14.30,6.72,0.15,9,1,0.5063
1834,572400417457377281,1353765409,0,0,1,0,0,0,0,0,136,18,1,0,1,0,55.86,6604,6557,118,1881,183297,152,686,1,1,0,0,267.20,1.01,0.99,11,1,0.5000
1836,572400412940247041,203059146,0,0,2,0,0,0,0,0,63,5,1,0,1,0,43.15,2008,13,58,0,67338,154,1599,1,1,0,0,42.11,154.46,0.01,15,1,0.5316
1837,572400413086859264,369458886,0,0,1,0,0,0,0,0,136,21,1,0,1,0,48.71,1315,21,12,16,43443,160,1272,1,1,0,0,34.15,62.62,0.02,19,1,0.4367
1842,572400423304355840,719885124,0,0,1,0,0,0,0,0,85,13,2,0,1,0,54.52,4478,4825,126,2447,12376,110,948,1,0,0,0,13.05,0.93,1.08,19,1,0.4367
1851,572400477758865408,219913533,0,0,1,0,0,0,0,0,131,19,0,0,1,0,43.91,3299,84,87,0,637065,153,1557,1,0,0,0,409.16,39.27,0.03,8,1,0.3987
